actor_id,position_code,tenure_start,tenure_end,notes
aus.1971.002,aus.min.agrc.exc.01,29-07-24,,Albanese III
aus.1973.003,aus.min.comc.exc.01,13-05-25,,Albanese III
aus.1954.001,aus.min.trde.exc.01,01-06-22,,Albanese III
jpn.1961.003,jpn.hog,21-10-25,,
jpn.1955.001,jpn.min.forn.exc.01,21-10-25,,Takaichi I
jpn.1959.001,jpn.min.fisc.exc.01,21-10-25,,Takaichi I
jpn.1981.001,jpn.min.dfns.exc.01,21-10-25,,Takaichi I
jpn.1948.001,jpn.min.jstc.exc.01,21-10-25,,Takaichi I
jpn.1961.001,jpn.min.spec.int.ops.exc.01,21-10-25,,Takaichi I
jpn.1960.001,jpn.min.comc.exc.01,21-10-25,,Takaichi I
jpn.1965.001,jpn.min.hlth.exc.01,21-10-25,,Takaichi I
jpn.1973.001,jpn.min.educ.exc.01,21-10-25,,Takaichi I
